Schlagwort;Idee;Problem;Lösung
Digitalisierung;Makerspace;Fehlende Infrastruktur / Bedarf an Freiräumen / Digitalisierung;Aufbau eines digitalen Makerspace
Digitalisierung;LoRa Netzwerk in Bamberg;"Wie mache ich meine Stadt smart? Mit dem Internet der Dinge, in dem physische und virtuelle Objekte miteinander vernetzt werden und durch Informations- und Kommunikationstechniken zusammenarbeiten.
Was ist dafür notwendig? Eine möglichst kostengünstige und energieeffiziente, flächendeckende Übertragungstechnik für Sensordaten aller Art. ";"Mit LoRaWAN steht die ideale Funktechnologie bereits zur Verfügung, um Bamberg intelligent zu vernetzen. Mit circa 25 Gateways kann das gesamte Stadtgebiet abgedeckt werden, denn LoRaWAN verfügt im Stadtgebiet über eine Reichweite von bis zu 2 km. Für jeden offen, kostengünstig und mit niedrigem Energieverbrauch, können über das Netzwerk Daten aller Art in das Internet eingespeist und weiterverarbeitet werden. Wichtig dabei: LoRaWAN ist kein 5G, es ist nicht für die Übertragung von Videos, Bildern oder großer Datenmengen geeignet.

Die Sensoren, die mit den Gateways kommunizieren, sind klein und handlich und haben nur einen geringen Batterieverbrauch. Dadurch sind sie äußerst wartungsarm und ihre Batterielaufzeit kann bis zu zehn Jahre betragen. Die Sensoren können in den unterschiedlichsten Gebieten zum Einsatz gebracht werden. Zum Beispiel bei der Übertragung von Umweltdaten wie Temperatur, Feuchtigkeit, Pegelstände, Helligkeit oder Luftqualität. Ebenso denkbar ist die Nutzung für Verkehrszählungen, Parkraum- und Objektüberwachung, Ablesung von Verbrauchszählern, Füllstandsmessung von Müllbehältern, Sicherheitstechnik und so weiter. Den Möglichkeiten sind fast keine Grenzen gesetzt. Die Schweiz und die Niederlande machen es bereits vor.
Die Nutzung des Netzwerks ist dabei für jeden – egal ob Profi oder Neuling, Privatperson oder Unternehmen – zugänglich.

Die Vorteile von LoRaWAN auf einen Blick:
+ geringer Energiebedarf
+ strahlungsarm
+ wartungsarm
+ grenzenlose Einsatzmöglichkeiten
+ für alle offen
+ kostengünstig
+ flächendeckend"
Bildung;WLAN an Schulen und in der Stadt. Frei.;"Kaum eine Schule in Deutschland hat WLAN das funktioniert. Das ist extrem peinlich und nervig im Alltag. Wenn wir von Digitalisierung reden müssen die BASICS erstmal stimmen. Und das tun sie halt nicht.

";Gut funktionierendes, gewartetes WLAN an Schulen einrichten. Damit wären wir Pioniere in Deutschland. Und warum dort anhalten? Freies High Speed WLAN in der gesamten Innenstadt. Das hat sonst nur Berlin.
Digitalisierung;DSGVO-konformer Videochat;Ob Behörden, die Uni oder Schulen. Alle sind seit Corona auf Videochat angewiesen. Die funktoinierenden Anbieter sind Amerikanisch und halten sich nicht an den Datenschutz. Daher wird immer mit Ausnahmegenehmigungen und zähneknirschen Zoom verwendet, aber irgendwie so richtig erlaubt ist es wohl doch nicht. Videochat ist ein digitales Basic - dass wir irgendwie nicht auf die Reihe kriegen in Deutschland.;Selbst machen. Die Software gibt es schon. Big Blue Button zum Beispiel. Aber mit nem guten Server. Vielleicht Software weiter verbessern? Aber vor allem: Kauft nen Root Server mit guter Anbindung, Stellt zwei gute Admins ein und stellt den Videochat allen Leuten im Bamberger Raum zur Verfügung.
Digitalisierung;Web-Plattform: Die Digitalisierungsampel. Digitalisieren - aber Smart und Vernetzt;Web-Plattform: Die Digitalisierungsampel. Digitalisieren - aber Smart und Vernetzt;"Eine einfach gehaltene, ansprechend designte und leicht zu bedienende Web-Plattform + App, die den aktuellen Stand der Digitalilsierung transparent für alle Behörden und Bürger sichtbar macht. In Form einer einfachen Ampel von Rot bis Grün.
Um Grün zu werden müssen alle drei Pfeiler: ""Infrastruktur, Ausrüstung, Fortbildung"" ausreichend umgesetzt sein. Auf einen weiteren Klick kann ich sehen wie es konkret in den verschiedenen Sub-Domänen aussieht - denn oft ist ein Arm gut finanziert während der andere komplett Vernachlässigt bleibt. Eine derart griffige und transparente Darstellung kann Orientierung und Ansporn für Behörden sein ihre Aufgaben besser wahrzunehmen und würde der Politik einen konkreten Überblick und den nötigen Druck verschaffen die Digitalisierung ganzheitlich anzugehen. Tatsächlich kann durch die Ampel als Challenge Digitalisierung Gamifiziert werden und mit Preisen einhergehen für alle Beteiligten (Behörden, Politiker, Mitarbeiter) die geholfen haben einen Ort zu digitalisieren."
Digitalisierung;Digitale Welterbespur;Das Welterbe digital erfahrbar machen ;Entwicklung einer digitalen Welterbespur. Die einzelnen Stationen werden durch ein Welterbesymbol aus Messing gekennzeichnet, die in das Pflaster eingelassen werden. An diesen Stellen können Audiodateien abgerufen werden. Die Themenauswahl gestaltet sich vielfältig. Ein Vorschlag wäre die Grenzen des Welterbes in Abgrenzung zum Stadtdenkmal sichtbar und erlebbar zu machen. 
Stadtgestaltung;Blindensignale für alle Ampelanlagen in Bamberg installieren;Lediglich an wenigen Ampelanlagen in Bamberg finden sich taktile und akustische Signalgeber für Menschen mit Blindheit und Sehbeeinträchtigung. Die Querung einer Straße oder Kreuzung bei Ampelanlagen ohne Signalgeber stellt eine erhebliche Gefahr für diese Personengruppe dar. Parallel reduziert die geringe Ausstattung mit Signalgeber die persönliche Mobilität aller Menschen mit Blindheit und Sehbeeinträchtigung. ;Vor diesem Hintergrund wäre es denkbar alle Ampelanlagen mit einem Signalgeber auszustatten. Über einen Funksensor ist der Signalgeber mit dem Steuersystem vor Ort verknüpft. Sobald der Signalgeber betätigt wird, sendet der Sensor einen Befahl an das Steuerungssystem und informiert das System, dass bei der nächsten Grünschaltung eine Person mit Blindheit oder Sehbeeinträchtigung die Straße queren möchte. Sobald die Ampel auf Grün umschaltet, kommt die Antwort an den Signalgeber entsprechend ein akustisches Signal auszulösen. 
Barrierefreiheit;Grundtarif Internet;"Deutschland hat vor ein paar Jahren das Internet entdeckt – seitdem wird fleißig „digitalisiert“. Auch durch Corona finden viele Aktivitäten, Veranstaltungen und Lehrangebote online statt; zeitweise waren Videocalls die weithin einzige akzeptierte Möglichkeit, miteinander zu kommunizieren. Der günstigste Tarif der Stadtwerke Bamberg kostet monatlich 25€. Für Menschen in Armut oder Altersarmut ist dies bereits eine beträchtliche Summe. ";"Suche nach Informationen, soziale Interaktion und Behördengänge im Internet müssen für wirklich alle Menschen, wenn sie das möchten, ermöglicht werden. Internet muss wie Strom und Wasser zur Grundversorgung zählen – ein sehr günstiger Grundtarif für Internet ist verfügbar, mit dem man notwendige Sachen online erledigen kann.

Alternative Lösungen sind natürlich denkbar: Beispielsweise der flächendeckende Ausbau von kostenlosem WLAN."
Stadtgestaltung;Bedarfsgerechte Größe von öffentlichen Mülleimern;Wir haben das große Glück, dass Bamberg Weltkulturerbe und damit sehr touristisch ist. Dadurch gelangt aber auch überdurchschnittlich viel Abfall in unsere Innenstadt. Die Mülleimer sind aber oft bereits mittags überfüllt. Passanten stapeln ihren Müll dann in akrobatische Höhen, bis er letztlich herunterfällt und die Umgebung verschmutzt. ;Bamberg hat ausreichend große öffentliche Mülleimer. Diese werden ausreichend oft geleert. 
Digitalisierung;Lokaler Online-Handel;Viele kaufen deshalb online, weil es extrem komfortabel ist. Man findet in einem riesigen Bestand sehr schnell und gezielt was man sucht, kauft es, und wartet dann auf die Lieferung. Will man lokal einkaufen, so klappert man diverse Geschäfte ab und wird ggf. dennoch nicht fündig. ;Geschäfte in Bamberg speisen ihre Waren in einen riesigen Online-Shop/Katalog ein. Bamberger können gezielt suchen, welche Geschäfte ein bestimmtes Produkt haben, es ggf. reservieren und dort dann sogar in der nächsten Stunde abholen – da kommt nicht einmal Amazon gegen an. 
Stadtgestaltung;Pfand-Hinweise an Mülleimern;Einige unserer Mitbürger verdienen sich ein Zubrot durch das Aufsammeln von uns weggeworfenen Pfandflaschen. Da es erniedrigend und gefährlich ist, in Mülleimern nach Pfand zu kramen, stellen viele von uns bereits ihr Pfand neben den Mülleimer. Viele haben das aber noch nicht im Blick und werfen ihr Pfand noch in die Mülleimer. ;Mülleimer in Bamberg machen darauf aufmerksam, das Pfand einen Wert hat und nicht weggeworfen werden sollte. Das könnte beispielsweise durch Pfandringe, aber auch durch Aufkleber wie „Pfand gehört daneben“ geschehen. 
Ehrenamt;Helping Hands (Plattform Web/App) für Nachbarschaftshilfe;"Bayernweit und vielen anderen Regionen in Deutschland wurde seit letzter Woche die Ausgangssperre ausgerufen, um die Ausbreitung der Corona Pandemie zu stoppen. Das Verlassen der Wohnung ist somit nur aus triftigen Gründen wie Arbeit, Einkaufen oder ärztliche Hilfe gestattet. In dieser Krisenzeit gibt es viele Menschen, denen es bereits im normalen Alltag schwer fällt Besorgungen zu machen - durch die jetzige Situation wird deren Lage weiter verschärft. Im Gegensatz dazu müssen aktuell viele junge, mobile und/oder engagierte Mitmenschen zuhause bleiben und suchen nach Möglichkeiten Hilfsbedürftige zu unterstützen.

Diese beiden Situationen haben wir aufgegriffen und überlegt wie wir sowohl den Hilfsbedürftigen Personen (Homies) unter die Arme greifen können und den Helfern (Heroes) eine Möglichkeiten bieten dies zu tun. Dabei haben wir im ersten Schritt (für den Hackathon und die zeitliche Begrenzung) unseren Schwerpunkt auf die Versorgung mit Lebensmitteln, Medikamenten und Dingen des alltäglichen Bedarfs gelegt.

Zielgruppe

- Silver Surfer
- Risikogruppen (Ältere Menschen, Menschen mit Vorerkrankungen/chronischen Erkrankungen)
- Alleinerziehende Familien
- Personen mit eingeschränkter Mobilität";"Wir bieten eine Plattform an, auf der:

Hilfesuchende (Homies) ihren Einkaufszettel anlegen können, mit Dingen des alltäglichen Bedarfs wie Lebensmitteln, Medikamenten, Post, etc. Hilfsbereite (Heroes), die diese Einkäufe übernehmen können Heroes und Homies die im nahen Umkreis wohnen, sich nicht kennen, können sich zueinander finden.

Ziel soll es sein, Heroes und Homies in der Nähe zueinander zu bringen. Die App kann deutschlandweit (ja sogar weltweit) eingeführt und von jedem genutzt werden. Je mehr Nutzer in einer Region leben desto schneller ergeben sich Hero-Homie-Matches.

Es gibt keine Nutzungs- oder Vermittlungsgebühren. "
Barrierefreiheit;Barrierefreies Krankenhaus;Hörgeschädigte Menschen können Ärzte und Pflegekräfte häufig nur bruchstückhaft verstehen. Aufklärungsgespräche, Behandlungshinweise können nicht nachvollzogen werden, eigenverantwortliche Entscheidungen erschwert. Der Hörstress belastet die Aufenthaltsqualität und verzögert den Heilungsprozess. ;Bei Bedarf Visualisierung des gesprochenen Wortes durch Verschriftlichung auf Tablet, Leinwand o.ä. auf allen Stationen 
Digitalisierung;Intelligente Steuerung des Verkehrsfluss;Oftmals steht man gerade in den Abendstunden bei sehr geringem Verkehrsaufkommen an roten Ampeln. Neben verlorener Lebenszeit bedeutet dies, sofern man mit einem KFZ unterwegs ist, einen vermeidbaren Ausstoß an CO2 und Schadstoffen. ;Einsatz intelligenter Verkehrssysteme. Ampeln können beispielsweise autonom entscheiden, um unnötige Rotphasen zu vermeiden
Digitalisierung;Mein Bamberg, meine Daten, meine Vorteile - Ermächtigte Bürger:innen bauen ihre Smart City;Viele Bürger:innen haben Sorge, dass ihre Daten von einer der großen Plattformen bzw. in einem Datenpool liegend missbraucht werden. Gleichzeitig ist es notwendig, auf bestimmte Nutzerdaten zugreifen zu können, um zielgerichtete Services bzw. Apps anzubieten (z.B. Alter, Interessen, Wohnort, etc). Die Sorge vor einem Missbrauch der persönlichen Daten bremst so die Innovationsgeschwindigkeit und die Anwendungsfelder der Smart City Bamberg.;Aufbau einer Plattform und einer zugehörigen Nutzerapplikation, die es den Bürger:innen ermöglicht, ihr persönliches Profil bzw. Daten zentral auf dem eigenen Smartphone oder PC zu speichern und zu verwalten. Jede/r entscheidet wann, wie lang und welche Daten über eine übergeordnete Plattform für Smart City Bamberg Projekte zur Verfügung gestellt werden. Sämtliche Applikationen, die im Rahmen der Smart City entwickelt werden, können nur auf die Plattform und die dort zielgerichtet freigeschalteten und anonymisierten Daten zugreifen, nicht aber auf das individuelle Bürger:innen Profil.
Verwaltung;Nachhaltig aus der aktuellen Krise lernen;Aktuell lernen die Bürger gerade, wie sie mit sehr viel weniger Mobilität klarkommen, kaufen regionaler ein und unterstützen sich gegenseitig. Wenn die Einschränkungen wieder gelockert/aufgelöst werden, steht zu befürchten, dass viele schnell wieder in den „alten Trott“ verfallen. ;Dokumentation und Kommunikation der positiven Effekte der aktuellen Situation. Versuch eines Transfers in die „Normalzeit“. Weiterentwicklung und Sicherung bestehender bzw. erkannter Potentiale. 
Digitalisierung;Projekte- und Vorhabenübersicht ;Die Stadt Bamberg plant jedes Jahr unzählige Vorhaben und Projekte, von denen es manche in die Presse schaffen, aber die meisten nicht. ;Eine Internetseite, die über alle Vorhaben und Projekte, die in der Stadt Bamberg geplant sind, informiert, den Stand der Umsetzung kennzeichnet und die Möglichkeit der Beteiligung aufzeigt. 
Digitalisierung;Digitales Solarflächenkataster;Die Erlaubnis für das Anbringen von Photovoltaik-Anlagen ist kompliziert. Momentan muss zumindest im Stadtdenkmal auch die Untere Denkmalbehörde zustimmen. Auch der Wirkungsgrad unterscheidet sich je nach Ausrichtung und Dachneigung.;Im Digitalen Solarflächenkataster können Informationen zum potenziellen Wirkungsgrad einfließen. Hauseigentümer:innen erhalten darüber hinaus Informationen, wo in Zukunft das Anbringen von Photovoltailkanlagen genehmigungsfrei ist, wo es nicht möglich ist (z.B. auf der Vorderseite von Einzeldenkmälern) und wo es einer Prüfung bedarf.
Ruheplätze;Stressfreie Zone im Bamberg ;Stress ( kurz gesagt) ;Ein Platz ( oder sogar mehrere) erschaffen den man bewusst, mit klarer Intention betritt, um vom Alltagsstress abschalten zu können. Dort können verschiedene veranstaltungen stattfinden oder kann man sich einfach hinsetzen, hinlegen , meditieren, kreativ werden usw. Dort wäre auch eine Tafel mit eine QR - Code mit Infos was aktuell in anderen solchen Plätzen stattfindet, dieses Projekt hätte auch eigene Internetseite und YouTube Kanal. Nähere Informationen dazu befinden sich im Anhang. 
Digitalisierung;"""Verloren-gefunden""";mmer wieder passiert, das Menschen was verlieren: eine Tasche, ein Rucksack, ein Handy usw. Wäre super, wenn eine App gäbe, wo man schreiben kann was man verloren hat und lesen was und wo jemand was gefunden hat, dann hätte man schnell die verlorene Sachen wieder haben können. ;"App ""Verloren-gefunden"""
Digitalisierung;Eine App „Senioren-regional“.;Problem: Fehlende Kontakte und fehlende regionale Info für Senioren;"Eine App""Senioren - regional"". “. Superleicht zu bedienen, also ohne Passwort bei Anmeldung, dafür Augen Scan oder Fingerabdruck oder sonst eine andere einfache Methode, wo man sich kein Passwort merken muss. Alles was man dort schreiben möchte soll, wie bei WhatsApp oder Messenger sein, so, dass man spricht und das wird automatisch aufgeschrieben (man kann das aufgeschriebene natürlich auch korrigieren).
In der App: Alle wichtigen Informationen angepasst für Senioren aus dieser Region können abgerufen werden: z.B. Veranstaltungen, Info was gerade aktuell in Stressfreie Zone los ist, Tauschbörse, Chat Möglichkeiten, Kunstecke wo jeder sein eigenes Gedicht oder Geschichte veröffentlichen kann usw. auch Plan von klappbaren Sitzen in der Stadt soll dort zu finden sein, z.B. wo sich der Nähe ein Klappbarer Sitz befindet (mein nächstes Projekt). Info wegen Spaziergang: Das ist ein kleines Projekt der dazu sehr gut passt. Ich wurde zu diesem Projekt durch eine Dokumentation, die ich vor Jahren gesehen habe, inspiriert; wo es darum ging, dass in eine Stadt (weiß ich nicht mehr in welchem Land, Japan oder wo das war) jeden Tag, um dieselbe Uhrzeit, am frühen Morgen Senioren (viele davon 100 Jahre alt!) getroffen haben und sind dieselbe Strecke gegangen. Das war ein Spaziergang wo wichtig war einfach die Strecke zusammen zu gehen. Ohne Programm, ohne Übungen, jeder konnte still gehen oder sich mit anderen unterhalten. Die Senioren haben später erzählt, wie wichtig es ist dieses Ritual gemeinsam zu erleben. Das gab die Motivation aus dem Bett aufzustehen und egal was wie ein Wetter oder Jahreszeit ist, einfach mitgehen. Die Soziale Kontakte dabei, frischer Luft und Bewegung war das, was sie jeden Tag brauchten und konnten sich nicht vorstellen nicht dabei zu sein."
Digitalisierung;Klappbare Sitze;Senioren bewegen sich zu wenig, viele beschweren sich (das weiß ich von meiner Freundin die Physiotherapeutin im Bamberg ist), dass in der Stadt zu wenig Sitzgelegenheiten gibt, z.B. zwischen Bushaltestellen usw. Die Senioren fühlen sich unsicher, denn wenn was passiert, z.B. Schwindelgefühl oder Schmerzen dann haben sie keine Möglichkeit sich hinzusetzen und es wird niemand da sein, der helfen kann. Es geht hier um älteren Menschen, die noch keinen Rollator benutzen oder auch Rollatoren haben, sie haben aber Angst, dass sie ohne Hilfe bleiben.;"Klappbare Sitze, die auf einem eisernen Geländer“ befestigt sind, auf dem Geländer soll ein QR Code sein, die man durch „Senioren Regional App“ scannen kann und damit wird man mit Hilfezentralle verbunden oder der Krankenwagen, der in der Nähe ist, wird damit automatisch informiert, dass dort jemand Hilfe braucht (die Sitze sollen die Möglichkeit haben geortet zu werden, die App ist erforderlich um zu vermeiden, dass der QR Code durch Kinder oder Jugendliche missbraucht wird, die einfach Scherze machen wollen).
Ich kann mir vorstellen, dass in 10 Jähren solche Sitze w automatisch Körpertemperatur oder auch Blutdruck bei der Person, die dort sitzt, messen werden und selber die Verbindung zur Hilfezentralle oder Krankenwagen herstellen werden.
Die Sitzgelegenheiten brauchen wenig Platz, sollen farbig sein, so, dass man sie von weitem gut erkennen kann."
Mobilität;ÖPNV im Landkreis goes Huber;"Die ÖPNV-Versorgung im Landkreis ist ineffizient. Busse fahren mit einer geringen Taktung und sind daher unattraktiv gegenüber dem Individualverkehr.

Gleichzeitig ""verstopfen"" Pendlerströme zu Stoßzeiten eine Stat wie Bamberg an Knotenpunkten. ";"Der ÖPNV im Landkreis wird bedürfnisgesteuert orientiert an den Bürgern. Ähnlich zur App ""Uber"" entsteht ein Online-Vermittlungsdienst zur Personenbeförderung.

Es gibt keine festen Fahrpläne des ÖPNV im Landkreis mehr. Mittels App kann Start, Ziel und Startzeit ausgewählt werden. Der Nutzer erhält direktes Feedback darüber, wann er die Fahrt starten kann, wie lange die Fahrt dauert und was es ihn kostet (Tickets werden direkt erworben).

Für kleine Personenbusse (ca. 9-15 Sitzplätze, ggf. E-Mobilität) werden smarte optimierte und individuelle Routen errechnet. Die Anzahl der eingesetzten barrierefreien Busse orientiert sich algorithmugesteuert an der Nachfrage. "
Digitalisierung;Datensouveränität;"Alle digitalen Anwendungen der Smart City lesen aus, leiten weiter oder analysieren selbst. Die Bürger Bambergs haben das Recht auf Schutz ihrer personenbezogenen Daten und könnten bei Information über ihre Handhabungen der Weiterverarbeitung widersprechen.
Nur wenn die Bürger Bambergs Einsicht bekommen in die digitale Infrastruktur der Stadt und ihren Datengebrauch können sie sicherstellen, dass digitale Anwendungen sparsam ausgelesen werden und zweckbezogen mit vertretbarem CO2- Abdruck verwendet werden. Auch die Speicherung und Weiterleitung von Daten sind offenzulegen. Solche Transparenz ermächtigt Bürger und ermöglicht Bürgerb";Durch die Etablierung städtischer Datensouveränität könnte die Stadt Bamberg achtsamen Umgang mit der Privatsphäre ihrer Bürger und ihren Bürgerrechten gewährleisten und Missbrauch verhindern
Nachhaltigkeit;Co2 Fußabdruck;Im Zuge der Teilnahme an der Klimawette misst bzw. berechnet die Stadt Bamberg den CO2-Fußabdruck ihrer Einrichtungen und sollte das auch für diedigitalen Geräte und Smart City Infrastruktur tun. (siehe Forderungen der UBA,STOA,Wiss.Beirat BRD und einige Umweltverbände.);Im Zuge der Teilnahme an der Klimawette misst bzw. berechnet die Stadt Bamberg den CO2-Fußabdruck ihrer Einrichtungen und sollte das auch für diedigitalen Geräte und Smart City Infrastruktur tun. (siehe Forderungen der UBA,STOA,Wiss.Beirat BRD und einige Umweltverbände.)
Barrierefreiheit;Mehr mehrsprachige infos mit Hilfe digitaler Programme ;Sprachliche Barrieren verhindern, dass alle Zugang zu wichtigen Informationen haben:;Infiormationsportale der Verwaltung sollen immer auch in der leichten Sprache und in den wichtigsten Sprachen der größeren sprachlichen Communities erhältlich sein. Hier sollen u.a. geeignete Programme getestet und angeschafft werden, damit auch automatische Übersetzungen (trotz ihrer Einschränkungen) möglich sind. 
Mobilität;eine Fährenverbindung (Wasserbus) zwischen Kranen und Erbainsel bzw. Gaustadt und dem Hafen;öffentliche Verkehr attraktiver machen ;Ein Wasserbus mit der Möglichkeit der Fahrradmitnahme (mit verschiedenen Stationen) ist ein attraktive Bereicherung des Angebots des öffentlichen Verkehrs und kann auch Straßen-Verkehr entlasen. 
Nachhaltigkeit;Dachwassernutzung;"Wassermangel der Stadtbäume
Absinken des Grundwasserspiegels";Regenwasser, das auf Hausdächer fällt soll zur nächsten Grünfläche (Garten, Grünstreifen, Park) geleitet werden, um dort zu versickern.
Crowdsensing;Digitales Meldesystem für übervolle öffentliche Mülleimer und Bekanntmachung des allgemeinen Mängelmeldesystems;"Oft sieht man in Bamberg übervolle und überquellende Mülleimer (z.B. im ERBA-Park).
Am Wochenende liegt oft Müll neben den Mülleimern und wird vom Wind durch den Park geweht.
Die Mängelmeldefunktion auf der Internetseite der Stadt Bamberg ist, soweit ich weiß, nicht sehr vielen Bürger*innen bekannt. ";"ch schlage vor, an jedem Mülleimer einen Aufkleber mit einem QR-Code und einer E-Mailadresse oder Telefonnummer für SMS/WhatsApp anzubringen, damit Bürger*innen volle Mülltonnen mit wenig Aufwand melden können. Am besten wäre ein System mit minimalem Zeitaufwand beim Melden und einer automatischen Danke-Nachricht.
Zusätzlich finde ich es sinnvoll, die Mängelmeldefunktion auf der Internetseite der Stadt Bamberg bekannter zu machen und intuitiver zu gestalten. Die Stadt Albstadt hat zum Beispiel ein gutes System, das als Inspiration dienen könnte. Es sind auch einige QR-Codes in der Stadt verteilt: https://www.albstadt.de/Mängelmeldesyste..."
Stadtgestaltung;Sportangebote im öffentlichen Raum I: Moderner Trimm-Dich-Pfad;Der Bamberger Trimm-Dich-Pfad ist etwas in die Jahre gekommen. Mehr gratis Sportangebote für Jugendliche und Erwachsene wären sinnvoll. ;"Der Pfad könnte entweder modernisiert werden oder ein zweiter Pfad in einem anderen Stadtteil gebaut werden.
Ein Trimm-dich-Pfad mit modernem Design, neuen Übungen (z.B. je 3 Schwierigkeitsstufen), anschaulichen Bildern, und QR-Codes, die Videos der Übungen anzeigen "
Stadtgestaltung;Sportangebote im öffentlichen Raum II: Fitnessgeräte für Erwachsene auf Spielplätzen;Während Kinder auf Spielplätzen selbstständig spielen, haben Erwachsene dort oft wenig zu tun. Eine Frau, die ich interviewt habe, möchte sich gerne sportlich betätigen während ihr Enkelkind spielt. ;"Ihr Vorschlag sind deshalb Fitnessgeräte für Erwachsene und Jugendliche auf Spielplätzen. Besonders wichtig ist dabei, dass man von den Fitnessgeräten aus Sichtkontakt zu den Kindern hat und schnell zur Stelle sein kann, wenn die Kinder es brauchen oder man wieder gemeinsam mit den Kindern spielen möchte.
Es sollten auch Geräte sein, die einfach zu bedienen sind und intensive Workouts ermöglichen. Ich fände zum Beispiel Klimmzugstangen, fahrradartige Geräte und Stepper gut."
Öffentlichkeitsarbeit;Bündelung und Übersichtlichkeit der Newsletter auf der Webseite der Stadt Bamberg;Es gibt zwar schon eine kleine Übersicht über Newsletter, aber eine Bündelung an einem Ort wäre übersichtlich und weitere Themen wären sinnvoll: ;"Welterbe, Musik, weitere Events, Angebote für Familien,Schule und Bildung, Offene Werkstatt, Möglichkeiten für ehrenamtliches Engagement/Nachbarschaftshilfe, Angebote von Vereinen, ...
Da viele Menschen ungern Newsletter erhalten, sollten die Informationen auch auf der Webseite und ggf. in einer App abrufbar sein. "
Mobilität;Seilbahn zur Altenburg;"In der Innenstadt sind manchmal Straßen so voll mit Tourist*innen, dass man mit dem Rad oder zu Fuß schlecht durchkommt.
Die Gegend um die Altenburg wird von vielen Menschen mit dem Auto besucht. ";Einer meiner Interviewpartner wünscht sich eine Seilbahn zur Altenburg. Die Idee ist unkonventionell, aber vielleicht eine Überlegung wert. Ich würde einen Startpunkt in der Nähe des Doms und einen Endpunkt zwischen der Altenburg und den umliegenden Wohngebieten vorschlagen. Oder am besten drei Ein- und Ausstiegspunkte. 
Mobilität;Neustrukturierung und Ausbau des Busnetzes;"Bei vielen (kurzen und langen) Strecken in Bamberg ist man mit dem Bus deutlich langsamer als mit dem Fahrrad oder dem Auto. Umstiege zwischen Bus und Bahn bedeuten oft erhebliche Wartezeiten und/oder lange Fußmärsche.
Am Wochenende fahren zwischen Stadt und Landkreis zu wenige Busse, einige Orte sind dann nicht mit dem ÖPNV zu erreichen.";Eine bedarfsorientierte und effiziente Neustrukturierung des Busnetzes in der Stadt Bamberg und zusätzliche Busverbindungen zwischen Stadt und Landkreis. Schnell- und Querverbindungen wären sinnvoll. Vor allem der Bahnhof sollte schneller und direkter erreichbar werden. 
Digitalisierung;Bamberg-App als zentrale Auskunfts- und Austauschplattform;Bestimmt gibt es zu diesem Thema schon ähnliche Ideen, wir können sie gerne zusammenbringen. ;"Funktionen:
1. Vernetzung: Leute kennenlernen, share & care (z.B. Lebensmittel oder Waren verschenken), Nachbarschaftshilfe
2. Verwaltung: z.B. Meldewesen, Sperrmüll anmelden, Abfallkalender
3. Vereinsverzeichnis mit Kontaktmöglichkeit
4. Events: Eventkalender mit Kategorien
5. weitere Stadt-Dienstleistungen: z.B. Strom- und Wassertarife und eigenen Verbrauch einsehen
Was fändet ihr noch sinnvoll?

Wenn es für manche Funktionen schon etablierte Webseiten gibt, wären Verlinkungen gut. Sonst schafft die App womöglich mehr Unübersichtlichkeit"
Digitalisierung;smarte Straßenbeleuchtung;Zu helle oder nach oben und zu den Seiten scheinende Straßenlaternen können eine hohe Lichtverschmutzung verursachen. ;"Dimmung und Bewegungsmelder für Straßenlaternen an weniger frequentierten Strecken.
Falls es in Bamberg noch „stark lichtverschmutzende“ Straßenlaternen gibt, sollten diese nach und nach gegen effizientere ersetzt werden.
Zwei von mir interviewte Personen wünschen sich zusätzliche Beleuchtung des Uferwegs zwischen Kiosk Kunni und Buger Spitze."
Barrierefreiheit;Stadtkarte für barrierefreie Wege;Menschen, die nicht gut zu Fuß sind oder im Rollstuhl sitzen, müssen ihre Wege in der Stadt manchmal aufwändig planen und stoßen trotzdem auf Barrieren. ;Eine online einsehbare Stadtkarte mit barrierefreien Pfaden, Bodenbeschaffenheit, Hindernissen, Toiletten usw. würde diesen Menschen helfen. 
Nachhaltigkeit;Bauernmarkt;"Wir haben in Bamberg die Möglichkeit umweltfreundlich, frisch, jahreszeitlich aktuell und regional einzukaufen auf dem Bauernmarkt.
Lleider ist der Platz in all den Jahren seines Bestehensbisher recht stiefmütterich auf den Parkplatz vor der alten Post hinein gequetscht und vielen Bambergern total unbekannt.
Dazu kommt, daß es nahezu jeden Samstag ein Problem mit den Parkplätzen gibt, welches dann die Polizei lösen muß.
Die Information ,daß am Samstag eine andere Parkordnung gilt ist schwer zu finden für den gewöhnlichen Autobesitzer.
Es ist nun einmal ein Parkplatz, welchen den regionalen Händlern als Verkaufsplatz zugeteilt wurde und schließlich müssen auch die Autofahrer und Anlieger einen Platz für ihr Mobil haben.";"Dank Corona hatten die Direktvermarkter und ihre Kundschaft endlich den angemessenen und sehr guten Platz am Maxplatz erhalten, wo auch die Corona Regeln eingehalten werden konnten.
Leider haben einige Event Veranstaltungen diesen Platz wieder leer gefegt und nun ist die Situation wie oben beschrieben.
Ich empfehle den Maxplatz dauerhaft für die Markttätigkeit frei zu geben. "
